Full Text Tweet;Datum und Uhrzeit
Hallo Schweiz, in Madrid ist der Gipfel los! Umweltbotschafter Franz Perrez vom @bafuCH in der Skype-Konferenz.  Zusammen mit den Gymnasiastinnen von Hofwil konnten wir gestern live an der #Cop25 dabei sein.  #Klimaschutz https://t.co/5g6Jk2Bk43;06-Dec-2019 (13:57:35.000000)
Unsere Anstrengungen zum Schutz der Umwelt greifen. Es gibt aber noch viel zu tun, zum Beispiel bei der Artenvielfalt. Tragen wir Sorge dazu! #Biodiversität #Umweltschutz #Soer2020//https://t.co/KCqXf8ZzkV;04-Dec-2019 (16:37:19.000000)
Ich teile den Appell von @antonioguterres : Die bisherigen Bemühungen für den Klimaschutz reichen nicht. Die🇨🇭 engagiert sich für griffige Regeln. Session und Wahl des Bundesrates lassen meine Teilnahme an #COP25 nicht zu. Ich unterstütze unsere Delegation via Skype-Schaltungen. https://t.co/bPjhsfKfqV;02-Dec-2019 (14:38:57.000000)
Wir haben jetzt die Gelegenheit, die Energiepolitik zu machen, die wir seit Langem fordern: Sonne statt Öl, Wasser statt AKW. #spdv https://t.co/nIWYhKL0VQ;30-Nov-2019 (13:49:09.000000)
Als ehemalige Betreuerin in einem Frauenhaus weiss ich wie traumatisch Gewalt sein kann. Der internationale Tag zur Beseitigung von Gewalt gegen Frauen liegt mir deshalb am Herzen! Nein zu #GewaltgegenFrauen ! #Orangetheworld;25-Nov-2019 (11:03:37.000000)
Es gibt 1001 Arten, um jenen zu helfen, die nicht im Märchenland leben. Schweizer Kinder denken an andere Kinder und helfen. Herzlichen Dank! @SWISSAID #swisskids//https://t.co/3ukFlVTVqb;21-Nov-2019 (13:18:39.000000)
Gegen Hitze und Luftverschmutzung kann man kein Medikament schlucken. Aber weitsichtige Politik kann den durch den Klimawandel verursachten Temperaturanstieg mildern. Das ist elementar, auch für unsere Gesundheit. //https://t.co/D5mYMtTiqE;19-Nov-2019 (14:43:16.000000)
Güter gehören auf die Bahn! Das vom Bundesrat beschlossene Verlagerungspaket dient der Bevölkerung, der Umwelt – und den Transporteuren. //https://t.co/DvEneJKtF8;13-Nov-2019 (14:42:19.000000)
Der Wunsch nach Freiheit, Glück und Wohlstand lässt sich nicht durch eine Mauer aufhalten. #mauerfall30 https://t.co/1p16WL17qU;09-Nov-2019 (07:07:19.000000)
Umweltbewusste Produkte im Laden und Solar auf dem Dach: Grossverteiler haben punkto #Klimaschutz enormes Potential. https://t.co/xIzRW2cLbj;07-Nov-2019 (18:29:32.000000)
Bund und Kantone, Bäuerinnen, Umweltverbände: Wir alle in Stadt und Land müssen mehr tun für die Artenvielfalt! Möge die Tagung des BAFU zum Aktionsplan Biodiversität Früchte tragen!//https://t.co/yybJLYobjF;07-Nov-2019 (13:03:33.000000)
Die Fläche wertvoller Naturräume wächst. Es braucht hier und in anderen Bereichen aber noch weitere Anstrengungen, damit wir die Ziele der UNO Agenda 2030 erreichen. #Agenda2030 #SDGs//https://t.co/nFuD2Eierk;05-Nov-2019 (14:51:31.000000)
Ich bringe mich an der #COP25 mit voller Kraft ein – via Skype-Schaltungen zur Schweizer Delegation. Die Wahl des Gesamtbundesrats erfordert meine Anwesenheit in Bern.//https://t.co/23rIVZKr9v;30-Oct-2019 (10:51:03.000000)
Der Bericht zum #Hitzesommer2018 zeigt: Massnahmen zur Anpassung an den Klimawandel wirken. Gleichzeitig müssen wir alles tun, um den Klimawandel zu begrenzen. #Klimaschutz jetzt – mit mehr erneuerbaren Energien und klimafreundlichen Finanzflüssen!//https://t.co/0oIluvLtAp;24-Oct-2019 (11:09:59.000000)
Thank you India! //Video: https://t.co/5L04Q25Uyq //Dossier: https://t.co/KmhZKSpLSN;22-Oct-2019 (12:47:09.000000)
Jetzt wird es konkret: Wir haben heute in Delhi die Arbeiten für eine engere Zusammenarbeit im Bahnbereich lanciert! ////https://t.co/715Yk4TpSg;21-Oct-2019 (10:36:17.000000)
Moderne Technologien erleichtern die Arbeit: Dank geodatenbasierten Daten und Karten können Reisbauern auf Dürre und Regen rasch reagieren.//https://t.co/P0wwPptUXN//Dossier UVEK: https://t.co/0SmC51PYDu https://t.co/YidjB7oWpz;19-Oct-2019 (11:56:25.000000)
Singanallur Lake plays a key role in Coimbatore’s water supply. Great cooperation between Indian experts and their Swiss partners.//Dossier DETEC: https://t.co/sx1Fm1LiGt https://t.co/4i3v4kJsDe;19-Oct-2019 (07:46:45.000000)
#Bangalore Airport uses solar power. The airport should be supplied entirely with solar power by 2020!//Dossier DETEC: https://t.co/anzZRa4Xnl https://t.co/eEVV9XXkmK;18-Oct-2019 (15:35:46.000000)
