Full Text Tweet;Datum und Uhrzeit
"Unser klares Ziel ist es, die Menschen in unserem Land zu unterstützen, sicherzustellen, dass möglichst viele ihren Arbeitsplatz behalten können &amp; die Wirtschaft in #Österreich, insbesondere Familienunternehmen, KMUs &amp; auch die großen Arbeitgeber gut durch diese Krise kommen.";18-Mar-2020 (12:40:57.000000)
"Wir werden insgesamt bis zu 38 Mrd. Euro in die Hand nehmen: 4 Mrd Soforthilfe (letzte Woche beschlossen), weitere 9 Mrd. Euro an Garantien &amp; Haftungen, 15 Mrd. Euro Notfallhilfe, um Branchen zu unterstützen, die es besonders hart trifft &amp; 10 Mrd. Euro Steuerstundungen. #COVID19";18-Mar-2020 (12:40:38.000000)
"Mein Zugang ist: Der Staat muss in guten Zeiten sparsam mit Steuergeldern umgehen, um in schlechten Zeiten zu helfen. Dieser Zeitpunkt ist jetzt. Wir wollen alles Menschenmögliche tun, um Arbeitslosigkeit &amp; Zahlungsunfähigkeit in Unternehmen zu verhindern. #COVID19.";18-Mar-2020 (12:40:06.000000)
"Wir haben immer gesagt, dass wir die Maßnahmen sehr lange einhalten werden müssen, um Veränderung in der Kurve zu sehen &amp; selbst dann, heißt es nicht, dass die Krise überwunden ist, sondern nur, dass die Maßnahmen wirken &amp; es notwendig ist, sie auch fortzusetzen. #COVID19";18-Mar-2020 (12:39:49.000000)
"Wir haben sehr harte Maßnahmen beschlossen &amp; ich bin den Österreichern sehr dankbar, dass diese auch mitgetragen werden. Die Kurve wird nicht sofort abflachen – seien Sie bitte nicht enttäuscht &amp; stellen Sie die Maßnahmen nicht in Frage. #COVID19";18-Mar-2020 (12:39:49.000000)
"Die Corona-Krise ist eine große Herausforderung für unser Land &amp; ganz Europa. Der Virus bedroht das Wichtigste, das es für uns alle gibt: unsere Gesundheit. Unsere gemeinsame Aufgabe ist es, alles zu tun, um die Verbreitung zumindest zu verlangsamen. #COVID19";18-Mar-2020 (12:38:21.000000)
"In der Videokonferenz zum Europäischen Rat haben wir über ein europäisches Vorgehen gegen die Ausbreitung von #COVID19 gesprochen. Alle europäischen Länder müssen harte Maßnahmen setzen, wie #Österreich sie bereits sehr früh gesetzt hat &amp; dürfen die Situation nicht unterschätzen.";17-Mar-2020 (19:31:48.000000)
"Bei der #Westbalkan-Videokonferenz haben wir über den Kampf gegen #COVID19 gesprochen &amp; ich habe die Regierungschefs aufgerufen, ähnliche harte Maßnahmen zu setzen. Wir bleiben in Kontakt &amp; unterstützen auch mit unserem Know-how.";17-Mar-2020 (15:11:18.000000)
"Bitte tragen Sie die Maßnahmen weiter so konsequent mit &amp; bedenken Sie auch in Stresssituationen immer, dass wir in Österreich ein Team sind, das #TeamÖsterreich, &amp; dass wir gerade in so einer Situation zusammenstehen &amp; zusammenhalten sollten.";17-Mar-2020 (13:33:35.000000)
"Mir ist bewusst, dass viele Menschen offene Fragen haben. Wir wissen auch, dass einige Service-Hotlines massiv überlastet sind &amp; versuchen die Kapazitäten so weit wie möglich aufzustocken! Ich bitte Sie, die medizinischen Hotlines nur anzurufen, wenn Sie wirklich Hilfe brauchen.";17-Mar-2020 (13:33:34.000000)
